atleta_ground_truth,atleta_slug_ground_truth,atleta_slug_base,clube_slug,serie,temporada,casos,confianca,evidencia,cartoes_na_temporada,status_atleta
Romario,romario,,vila_nova,B,2022,PM-001,nao_resolvido,Nenhum atleta chamado Romário recebeu cartão pelo Vila Nova em 2022. Coerente com o caso: o atleta não foi escalado na partida-alvo e a fraude não se consumou.,0,nao_resolvido
Joseph,joseph,joseph_mauricio_de_oliveira_figueiredo,tombense,B,2022,PM-002,alta,Único atleta chamado Joseph no Tombense em 2022 (4 cartões).,4,resolvido
Mateusinho,mateusinho,mateus_da_silva_duarte,sampaio_correa,B,2022,"PM-003, PM-005",alta,"Nome civil do atleta conhecido como 'Mateusinho', único no clube e temporada (7 cartões).",7,resolvido
Ygor Catatau,ygor_catatau,ygor_de_oliveira_ferreira,sampaio_correa,B,2022,PM-004,media,"Único 'Ygor' no Sampaio Corrêa em 2022 (3 cartões). O apelido 'Catatau' não consta da base, e o evento do ground truth é um pênalti cometido, que não deixa registro de cartão.",3,resolvido
Paulo Miranda,paulo_miranda,paulo_miranda,juventude,A,2022,"PM-006, PM-007",alta,"Slug idêntico ao do ground truth, no clube e temporada corretos (5 cartões em 2022).",5,resolvido
Gabriel Tota,gabriel_tota,gabriel_tota,juventude,A,2022,"PM-008, PM-009",alta,"Slug idêntico, clube correto. Possui apenas 2 cartões em 2022, abaixo do mínimo de 3 exigido pelo ATHLETE_ANOMALY_SCORE — presente nos cartões, ausente da base pontuada.",2,abaixo_do_minimo_de_cartoes
Eduardo Bauermann,eduardo_bauermann,eduardo,santos,A,2022,"PM-010, PM-011",alta,"A fonte da Série A registra o atleta pelo nome curto 'Eduardo'. Confirmado pelo evento: cartão vermelho aos 93' na rodada 37 (Botafogo x Santos), exatamente o incidente PM-011.",8,resolvido
Nino Paraiba,nino_paraiba,nino_paraiba,ceara,A,2022,PM-012,alta,"Slug idêntico, clube correto (11 cartões em 2022). Não confundir com 'nino' (Fluminense), atleta sem relação com a operação e que a heurística anterior selecionava.",11,resolvido
Moraes Jr,moraes_jr,onitlasi_junior_de_moraes_rodrigues,juventude,A,2022,PM-013,media,"Único atleta com 'Moraes' e 'Júnior' no nome, no Juventude em 2022 (4 cartões). Sem confirmação por evento: o cartão registrado está aos 5' e o ground truth indica 31'.",4,resolvido
Igor Carius,igor_carius,,cuiaba,A,2022,PM-014,nao_resolvido,"Não há nenhum 'Cariús' na base em 2022, em qualquer série. O único Igor do Cuiabá é 'Igor Aquino da Silva', atacante — o ground truth descreve um lateral-esquerdo. A heurística anterior associava 'Igor Marques Paciência Cardoso' (Ponte Preta, Série B).",0,nao_resolvido
